147,SOUND CONTINUE,BCB9
148,SOUND AMPL ENVELOPE,BCBC
149,SOUND TONE ENVELOPE,BCBF
150,SOUND A ADDRESS,BCC2
151,SOUND T ADDRESS,BCC5
152,KL CHOKE OFF,BCC8
153,KL ROM WALK,BCCB
154,KL INIT BACK,BCCE
155,KL LOG EXT,BCD1
156,KL FIND COMMAND,BCD4
157,KL NEW FRAME FLY,BCD7
158,KL ADD FRAME FLY,BCDA
159,KL DEL FRAME FLY,BCDD
160,KL NEW FAST TICKER,BCE0
161,KL ADD FAST TICKER,BCE3
162,KL DEL FAST TICKER,BCE6
163,KL ADD TICKER,BCE9
164,KL DEL TICKER,BCEC
165,KL INIT EVENT,BCEF
166,KL EVENT,BCF2
167,KL SYNC RESET,BCF5
168,KL DEL SYNCHRONOUS,BCF8
169,KL NEXT SYNC,BCFB
170,KL DO SYNC,BCFE
171,KL DONE SYNC,BD01
172,KL EVENT DISABLE,BD04
173,KL EVENT ENABLE,BD07
174,KL DISARM EVENT,BD0A
175,KL TIME PLEASE,BD0D
176,KL TIME SET,BD10
177,MC BOOT PROGRAM,BD13
178,MC START PROGRAM,BD16
179,MC WAIT FLYBACK,BD19
180,MC SET MODE,BD1C
181,MC SCREEN OFFSET,BD1F
182,MC CLEAR INKS,BD22
183,MC SET INKS,BD25
184,MC RESET PRINTER,BD28
185,MC PRINT CHAR,BD2B
186,MC BUSY PRINTER,BD2E
187,MC SEND PRINTER,BD31
188,MC SOUND REGISTER,BD34
189,JUMP RESTORE,BD37
190,KM SET LOCKS,BD3A
191,KM FLUSH,BD3D
192,TXT ASK STATE,BD40
193,GRA DEFAULT,BD43
194,GRA SET BACK,BD46
195,GRA SET FIRST,BD49
196,GRA SET LINE MASK,BD4C
197,GRA FROM USER,BD4F
198,GRA FILL,BD52
199,SCR SET POSITION,BD55
200,MC PRINT TRANSLATION,BD58
201,KL BANK SWITCH,BD5B
